State,State_Code,Question_Short,Question_Full,Response,No_Of_Households
Punjab,PB,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",N.A.,0
Rajasthan,RJ,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",N.A.,60
Tamil Nadu,TN,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",N.A.,22
Telangana,TS,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",N.A.,1
Uttar Pradesh,UP,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",N.A.,118
Uttarakhand,UK,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",N.A.,4
West Bengal,WB,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",N.A.,23
Andhra Pradesh,AP,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Rechargeable battery,0
Assam,AS,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Rechargeable battery,1
Bihar,BR,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Rechargeable battery,0
Chhattisgarh,CH,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Rechargeable battery,0
Delhi,DL,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Rechargeable battery,0
Gujarat,GJ,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Rechargeable battery,0
Haryana,HR,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Rechargeable battery,0
Himachal Pradesh,HP,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Rechargeable battery,0
Jharkhand,JH,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Rechargeable battery,0
Karnataka,KA,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Rechargeable battery,0
Kerala,KL,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Rechargeable battery,0
Madhya Pradesh,MP,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Rechargeable battery,1
Maharashtra,MH,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Rechargeable battery,0
Odisha,OR,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Rechargeable battery,0
Punjab,PB,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Rechargeable battery,0
Rajasthan,RJ,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Rechargeable battery,0
Tamil Nadu,TN,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Rechargeable battery,5
Telangana,TS,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Rechargeable battery,0
Uttar Pradesh,UP,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Rechargeable battery,2
Uttarakhand,UK,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Rechargeable battery,1
West Bengal,WB,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Rechargeable battery,0
Andhra Pradesh,AP,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Diesel generator personal ,0
Assam,AS,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Diesel generator personal ,0
Bihar,BR,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Diesel generator personal ,1
Chhattisgarh,CH,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Diesel generator personal ,0
Delhi,DL,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Diesel generator personal ,0
Gujarat,GJ,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Diesel generator personal ,0
Haryana,HR,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Diesel generator personal ,0
Himachal Pradesh,HP,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Diesel generator personal ,0
Jharkhand,JH,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Diesel generator personal ,0
Karnataka,KA,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Diesel generator personal ,0
Kerala,KL,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Diesel generator personal ,0
Madhya Pradesh,MP,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Diesel generator personal ,0
Maharashtra,MH,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Diesel generator personal ,0
Odisha,OR,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Diesel generator personal ,0
Punjab,PB,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Diesel generator personal ,0
Rajasthan,RJ,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Diesel generator personal ,2
Tamil Nadu,TN,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Diesel generator personal ,0
Telangana,TS,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Diesel generator personal ,0
Uttar Pradesh,UP,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Diesel generator personal ,0
Uttarakhand,UK,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Diesel generator personal ,0
West Bengal,WB,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Diesel generator personal ,0
Andhra Pradesh,AP,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Solar home system,0
Assam,AS,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Solar home system,0
Bihar,BR,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Solar home system,1
Chhattisgarh,CH,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Solar home system,1
Delhi,DL,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Solar home system,0
Gujarat,GJ,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Solar home system,0
Haryana,HR,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Solar home system,4
Himachal Pradesh,HP,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Solar home system,0
Jharkhand,JH,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Solar home system,3
Karnataka,KA,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Solar home system,6
Kerala,KL,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Solar home system,1
Madhya Pradesh,MP,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Solar home system,0
Maharashtra,MH,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Solar home system,1
Odisha,OR,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Solar home system,13
Punjab,PB,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Solar home system,0
Rajasthan,RJ,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Solar home system,1
Tamil Nadu,TN,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Solar home system,2
Telangana,TS,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Solar home system,0
Uttar Pradesh,UP,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Solar home system,14
Uttarakhand,UK,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Solar home system,0
West Bengal,WB,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Solar home system,0
Andhra Pradesh,AP,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Solar mini grid,0
Assam,AS,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Solar mini grid,0
Bihar,BR,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Solar mini grid,0
Chhattisgarh,CH,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Solar mini grid,10
Delhi,DL,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Solar mini grid,0
Gujarat,GJ,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Solar mini grid,0
Haryana,HR,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Solar mini grid,0
Himachal Pradesh,HP,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Solar mini grid,0
Jharkhand,JH,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Solar mini grid,0
Karnataka,KA,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Solar mini grid,0
Kerala,KL,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Solar mini grid,0
Madhya Pradesh,MP,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Solar mini grid,0
Maharashtra,MH,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Solar mini grid,0
Odisha,OR,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Solar mini grid,4
Punjab,PB,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Solar mini grid,0
Rajasthan,RJ,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Solar mini grid,0
Tamil Nadu,TN,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Solar mini grid,0
Telangana,TS,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Solar mini grid,0
Uttar Pradesh,UP,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Solar mini grid,0
Uttarakhand,UK,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Solar mini grid,0
West Bengal,WB,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Solar mini grid,0
Andhra Pradesh,AP,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Diesel generator society ,0
Assam,AS,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Diesel generator society ,0
Bihar,BR,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Diesel generator society ,0
Chhattisgarh,CH,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Diesel generator society ,0
Delhi,DL,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Diesel generator society ,0
Gujarat,GJ,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Diesel generator society ,0
Haryana,HR,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Diesel generator society ,0
Himachal Pradesh,HP,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Diesel generator society ,0
Jharkhand,JH,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Diesel generator society ,0
Karnataka,KA,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Diesel generator society ,0
Kerala,KL,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Diesel generator society ,0
Madhya Pradesh,MP,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Diesel generator society ,0
Maharashtra,MH,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Diesel generator society ,0
Odisha,OR,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Diesel generator society ,0
Punjab,PB,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Diesel generator society ,0
Rajasthan,RJ,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Diesel generator society ,0
Tamil Nadu,TN,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Diesel generator society ,1
Telangana,TS,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Diesel generator society ,0
Uttar Pradesh,UP,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Diesel generator society ,0
Uttarakhand,UK,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Diesel generator society ,0
West Bengal,WB,Q324_primary_elec_source,"Overall, what is the primary source of electricity for your household?",Diesel generator society ,0
Andhra Pradesh,AP,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Neutral,19
Assam,AS,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Neutral,39
Bihar,BR,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Neutral,44
Chhattisgarh,CH,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Neutral,14
Delhi,DL,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Neutral,1
Gujarat,GJ,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Neutral,65
Haryana,HR,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Neutral,18
Himachal Pradesh,HP,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Neutral,13
Jharkhand,JH,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Neutral,22
Karnataka,KA,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Neutral,147
Kerala,KL,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Neutral,137
Madhya Pradesh,MP,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Neutral,86
Maharashtra,MH,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Neutral,35
Odisha,OR,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Neutral,3
Punjab,PB,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Neutral,18
Rajasthan,RJ,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Neutral,53
Tamil Nadu,TN,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Neutral,93
Telangana,TS,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Neutral,21
Uttar Pradesh,UP,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Neutral,189
Uttarakhand,UK,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Neutral,8
West Bengal,WB,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Neutral,120
Andhra Pradesh,AP,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Somewhat Satisfied,132
Assam,AS,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Somewhat Satisfied,153
Bihar,BR,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Somewhat Satisfied,329
Chhattisgarh,CH,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Somewhat Satisfied,131
Delhi,DL,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Somewhat Satisfied,31
Gujarat,GJ,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Somewhat Satisfied,133
Haryana,HR,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Somewhat Satisfied,42
Himachal Pradesh,HP,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Somewhat Satisfied,77
Jharkhand,JH,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Somewhat Satisfied,124
Karnataka,KA,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Somewhat Satisfied,132
Kerala,KL,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Somewhat Satisfied,139
Madhya Pradesh,MP,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Somewhat Satisfied,195
Maharashtra,MH,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Somewhat Satisfied,414
Odisha,OR,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Somewhat Satisfied,46
Punjab,PB,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Somewhat Satisfied,129
Rajasthan,RJ,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Somewhat Satisfied,398
Tamil Nadu,TN,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Somewhat Satisfied,182
Telangana,TS,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Somewhat Satisfied,55
Uttar Pradesh,UP,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Somewhat Satisfied,350
Uttarakhand,UK,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Somewhat Satisfied,49
West Bengal,WB,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Somewhat Satisfied,373
Andhra Pradesh,AP,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Very Satisfied,327
Assam,AS,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Very Satisfied,34
Bihar,BR,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Very Satisfied,761
Chhattisgarh,CH,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Very Satisfied,179
Delhi,DL,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Very Satisfied,351
Gujarat,GJ,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Very Satisfied,549
Haryana,HR,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Very Satisfied,240
Himachal Pradesh,HP,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Very Satisfied,264
Jharkhand,JH,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Very Satisfied,125
Karnataka,KA,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Very Satisfied,429
Kerala,KL,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Very Satisfied,67
Madhya Pradesh,MP,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Very Satisfied,351
Maharashtra,MH,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Very Satisfied,815
Odisha,OR,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Very Satisfied,485
Punjab,PB,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Very Satisfied,224
Rajasthan,RJ,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Very Satisfied,281
Tamil Nadu,TN,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Very Satisfied,597
Telangana,TS,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Very Satisfied,365
Uttar Pradesh,UP,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Very Satisfied,544
Uttarakhand,UK,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Very Satisfied,275
West Bengal,WB,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Very Satisfied,385
Andhra Pradesh,AP,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Very Unsatisfied,20
Assam,AS,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Very Unsatisfied,30
Bihar,BR,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Very Unsatisfied,77
Chhattisgarh,CH,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Very Unsatisfied,15
Delhi,DL,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Very Unsatisfied,8
Gujarat,GJ,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Very Unsatisfied,27
Haryana,HR,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Very Unsatisfied,29
Himachal Pradesh,HP,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Very Unsatisfied,22
Jharkhand,JH,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Very Unsatisfied,65
Karnataka,KA,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Very Unsatisfied,29
Kerala,KL,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Very Unsatisfied,17
Madhya Pradesh,MP,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Very Unsatisfied,130
Maharashtra,MH,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Very Unsatisfied,74
Odisha,OR,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Very Unsatisfied,24
Punjab,PB,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Very Unsatisfied,22
Rajasthan,RJ,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Very Unsatisfied,48
Tamil Nadu,TN,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Very Unsatisfied,48
Telangana,TS,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Very Unsatisfied,44
Uttar Pradesh,UP,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Very Unsatisfied,141
Uttarakhand,UK,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Very Unsatisfied,45
West Bengal,WB,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Very Unsatisfied,30
Andhra Pradesh,AP,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",N.A.,0
Assam,AS,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",N.A.,1
Bihar,BR,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",N.A.,36
Chhattisgarh,CH,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",N.A.,16
Delhi,DL,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",N.A.,1
Gujarat,GJ,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",N.A.,9
Haryana,HR,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",N.A.,39
Himachal Pradesh,HP,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",N.A.,0
Jharkhand,JH,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",N.A.,9
Karnataka,KA,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",N.A.,25
Kerala,KL,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",N.A.,0
Madhya Pradesh,MP,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",N.A.,63
Maharashtra,MH,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",N.A.,6
Odisha,OR,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",N.A.,11
Punjab,PB,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",N.A.,0
Rajasthan,RJ,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",N.A.,60
Tamil Nadu,TN,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",N.A.,22
Telangana,TS,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",N.A.,1
Uttar Pradesh,UP,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",N.A.,118
Uttarakhand,UK,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",N.A.,4
West Bengal,WB,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",N.A.,23
Andhra Pradesh,AP,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Somewhat Unsatisfied,0
Assam,AS,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Somewhat Unsatisfied,142
Bihar,BR,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Somewhat Unsatisfied,99
Chhattisgarh,CH,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Somewhat Unsatisfied,31
Delhi,DL,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Somewhat Unsatisfied,3
Gujarat,GJ,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Somewhat Unsatisfied,15
Haryana,HR,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Somewhat Unsatisfied,15
Himachal Pradesh,HP,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Somewhat Unsatisfied,8
Jharkhand,JH,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Somewhat Unsatisfied,41
Karnataka,KA,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Somewhat Unsatisfied,26
Kerala,KL,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Somewhat Unsatisfied,25
Madhya Pradesh,MP,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Somewhat Unsatisfied,139
Maharashtra,MH,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Somewhat Unsatisfied,65
Odisha,OR,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Somewhat Unsatisfied,17
Punjab,PB,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Somewhat Unsatisfied,4
Rajasthan,RJ,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Somewhat Unsatisfied,133
Tamil Nadu,TN,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Somewhat Unsatisfied,27
Telangana,TS,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Somewhat Unsatisfied,7
Uttar Pradesh,UP,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Somewhat Unsatisfied,206
Uttarakhand,UK,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Somewhat Unsatisfied,3
West Bengal,WB,Q326_satisfied_elec,"Overall, how satisfied are you with the electricity situation in your home?",Somewhat Unsatisfied,49
